SensorTemp,NucleoTemp,Time
64.625,-9.547169,1.000067
64.625,-9.547169,2.000133
64.73751,-9.849056,3.000217
64.625,-9.245281,4.000283
64.73751,-9.547169,5.000367
64.625,-9.849056,6.000433
64.625,-9.849056,7.0005
64.85,-9.547169,8.000566
64.9625,-9.547169,9.00065
65.075,-9.245281,10.00072
64.85,-9.849056,11.00078
64.9625,-9.245281,12.00087
64.85,-9.245281,13.00093
64.85,-9.245281,14.001
64.85,-9.547169,15.00107
64.9625,-9.245281,16.00115
64.9625,-9.547169,17.00123
65.075,-9.245281,18.0013
64.9625,-9.245281,19.00138
64.9625,-9.245281,20.00147
65.075,-9.245281,21.00153
65.075,-9.547169,22.0016
65.3,-9.245281,23.00167
65.075,-9.245281,24.00173
65.075,-9.245281,25.0018
65.075,-9.245281,26.00187
65.1875,-9.245281,27.00195
65.075,-9.245281,28.00202
63.95,-9.849056,29.00208
63.05,-9.849056,30.00215
62.6,-10.15094,31.00222
62.2625,-10.15094,32.0023
61.925,-10.15094,33.00238
62.0375,-10.75472,34.00247
62.0375,-10.45283,35.00255
61.925,-10.75472,36.00262
61.8125,-11.0566,37.00268
61.925,-11.0566,38.00275
61.8125,-11.0566,39.00282
61.7,-11.35849,40.00288
61.7,-11.0566,41.00295
61.5875,-11.35849,42.00304
61.3625,-11.0566,43.0031
61.25,-11.0566,44.00317
61.3625,-11.35849,45.00325
61.25,-11.35849,46.00332
61.3625,-11.35849,47.0034
61.25,-11.66038,48.00347
61.3625,-11.35849,49.00355
61.3625,-11.35849,50.00363
61.3625,-11.0566,51.0037
61.25,-11.0566,52.00377
61.3625,-11.66038,53.00385
61.25,-11.66038,54.00392
61.475,-11.0566,55.00398
61.3625,-11.66038,56.00407
61.25,-11.35849,57.00414
61.25,-11.0566,58.0042
61.25,-11.0566,59.00426
61.3625,-11.0566,60.00433
61.25,-11.35849,61.0044
61.1375,-11.35849,62.00449
61.25,-11.35849,63.00455
61.1375,-11.35849,64.00463
61.025,-11.66038,65.00472
60.575,-11.66038,66.00479
60.575,-11.35849,67.00485
61.025,-11.35849,68.00491
61.25,-11.35849,69.00498
61.5875,-11.35849,70.00507
61.8125,-11.0566,71.00513
62.15,-11.0566,72.00521
61.7,-11.35849,73.00527
61.25,-11.35849,74.00533
61.25,-11.35849,75.0054
61.475,-11.0566,76.00547
61.5875,-11.35849,77.00555
61.475,-11.35849,78.00561
61.3625,-11.0566,79.00568
61.25,-11.66038,80.00575
61.025,-11.35849,81.00581
61.25,-11.35849,82.00588
61.3625,-11.35849,83.00597
61.3625,-11.35849,84.00605
61.5875,-11.35849,85.00613
61.7,-11.35849,86.0062
61.8125,-11.0566,87.00626
61.475,-11.35849,88.00633
61.025,-11.66038,89.0064
60.9125,-11.96226,90.00648
60.8,-11.35849,91.00656
60.9125,-11.35849,92.00664
60.8,-11.66038,93.0067
61.25,-11.35849,94.00677
60.9125,-11.35849,95.00686
60.8,-11.35849,96.00692
60.6875,-11.35849,97.00701
60.575,-11.35849,98.00707
60.9125,-11.35849,99.00715
61.1375,-11.35849,100.0072
60.9125,-11.96226,101.0073
60.8,-11.66038,102.0074
60.575,-11.66038,103.0074
60.6875,-11.66038,104.0075
60.6875,-12.26415,105.0076
60.6875,-11.96226,106.0077
60.4625,-11.96226,107.0078
60.575,-11.66038,108.0078
60.6875,-11.96226,109.0079
60.8,-11.96226,110.008
60.8,-11.66038,111.0081
60.6875,-11.35849,112.0081
60.575,-12.26415,113.0082
60.575,-11.66038,114.0083
60.8,-11.66038,115.0083
60.9125,-11.66038,116.0084
60.575,-11.66038,117.0085
60.6875,-11.66038,118.0086
60.575,-11.66038,119.0086
60.6875,-11.96226,120.0087
60.6875,-11.66038,121.0088
60.6875,-11.66038,122.0089
60.6875,-11.96226,123.009
60.575,-11.96226,124.009
60.4625,-12.26415,125.0091
60.4625,-11.96226,126.0092
60.4625,-12.26415,127.0093
60.4625,-11.96226,128.0094
60.35,-11.66038,129.0095
60.4625,-11.96226,130.0095
60.575,-11.66038,131.0096
60.35,-11.66038,132.0097
60.4625,-11.96226,133.0097
60.575,-12.26415,134.0098
60.575,-11.96226,135.0099
60.575,-11.96226,136.0099
60.575,-11.66038,137.01
60.4625,-11.96226,138.0101
60.4625,-12.26415,139.0102
60.4625,-12.26415,140.0103
60.4625,-11.66038,141.0103
60.4625,-11.96226,142.0104
60.35,-11.96226,143.0105
60.35,-11.96226,144.0105
60.35,-11.96226,145.0106
60.4625,-12.26415,146.0107
60.4625,-12.26415,147.0108
60.4625,-12.26415,148.0109
60.4625,-11.96226,149.011
60.35,-11.96226,150.011
60.35,-12.26415,151.0111
60.4625,-12.26415,152.0112
60.35,-12.26415,153.0112
60.4625,-12.26415,154.0113
60.2375,-11.96226,155.0114
60.575,-12.26415,156.0114
60.35,-11.96226,157.0115
60.2375,-12.26415,158.0116
60.2375,-12.26415,159.0117
60.35,-11.96226,160.0118
60.575,-11.96226,161.0118
60.4625,-11.66038,162.0119
60.575,-11.96226,163.012
60.6875,-12.26415,164.0121
60.6875,-11.96226,165.0121
60.8,-11.66038,166.0122
60.575,-11.35849,167.0123
60.575,-11.96226,168.0123
60.4625,-11.96226,169.0124
60.6875,-11.66038,170.0125
60.6875,-11.66038,171.0126
60.6875,-11.96226,172.0127
60.8,-11.66038,173.0128
60.8,-11.96226,174.0128
60.9125,-11.96226,175.0129
60.8,-11.66038,176.013
60.9125,-11.96226,177.013
60.8,-11.66038,178.0131
60.8,-11.96226,179.0132
60.6875,-11.96226,180.0133
60.8,-11.96226,181.0133
60.6875,-11.96226,182.0134
60.6875,-11.66038,183.0135
60.8,-11.96226,184.0136
60.8,-11.66038,185.0136
60.9125,-11.35849,186.0137
61.025,-11.96226,187.0138
61.025,-11.66038,188.0138
60.9125,-11.96226,189.0139
60.9125,-11.35849,190.014
60.9125,-11.96226,191.0141
60.9125,-11.96226,192.0142
60.8,-11.96226,193.0142
60.9125,-11.96226,194.0143
60.8,-11.66038,195.0144
60.8,-11.66038,196.0145
60.8,-11.35849,197.0145
60.8,-11.66038,198.0146
60.8,-11.96226,199.0147
60.9125,-11.66038,200.0148
60.9125,-11.66038,201.0148
60.9125,-11.66038,202.0149
60.9125,-11.96226,203.015
60.8,-11.96226,204.0151
60.9125,-11.35849,205.0152
60.9125,-12.26415,206.0152
60.9125,-11.96226,207.0153
60.9125,-11.96226,208.0154
61.025,-11.66038,209.0155
60.9125,-11.66038,210.0155
60.9125,-11.66038,211.0156
61.025,-11.66038,212.0157
61.1375,-11.0566,213.0157
61.25,-11.35849,214.0158
61.475,-11.35849,215.0159
61.5875,-11.0566,216.016
61.3625,-11.66038,217.0161
61.25,-11.0566,218.0161
61.3625,-11.35849,219.0162
61.3625,-11.0566,220.0163
61.25,-11.0566,221.0163
61.3625,-11.35849,222.0164
61.3625,-11.35849,223.0165
61.25,-11.35849,224.0166
61.25,-11.35849,225.0166
61.3625,-11.35849,226.0167
61.5875,-11.35849,227.0168
61.5875,-11.35849,228.0169
61.3625,-11.35849,229.017
61.3625,-11.0566,230.017
61.3625,-11.35849,231.0171
61.25,-11.66038,232.0172
61.475,-11.0566,233.0172
61.475,-11.35849,234.0173
61.7,-11.35849,235.0174
61.7,-11.0566,236.0174
61.8125,-11.35849,237.0175
61.925,-11.35849,238.0176
62.2625,-11.0566,239.0177
62.4875,-11.0566,240.0177
62.6,-10.75472,241.0178
62.825,-10.75472,242.0179
63.05,-10.45283,243.0179
62.9375,-10.45283,244.018
62.825,-10.75472,245.0181
63.05,-10.75472,246.0181
63.1625,-10.75472,247.0182
63.1625,-10.75472,248.0183
62.9375,-10.75472,249.0184
62.825,-11.0566,250.0185
63.1625,-11.0566,251.0185
62.9375,-10.75472,252.0186
62.7125,-11.0566,253.0187
62.4875,-10.75472,254.0188
62.375,-10.75472,255.0188
62.375,-10.75472,256.0189
62.375,-10.75472,257.019
62.375,-10.75472,258.019
62.375,-10.75472,259.0191
62.2625,-11.0566,260.0192
62.4875,-11.0566,261.0193
62.7125,-10.75472,262.0193
62.825,-11.0566,263.0194
62.7125,-10.75472,264.0195
62.825,-11.0566,265.0196
62.6,-10.75472,266.0196
62.7125,-10.75472,267.0197
62.7125,-10.75472,268.0198
62.7125,-10.45283,269.0199
62.6,-11.0566,270.0199
62.825,-10.45283,271.02
62.825,-10.75472,272.0201
62.7125,-10.75472,273.0201
62.6,-10.45283,274.0202
62.4875,-10.45283,275.0203
62.4875,-10.75472,276.0204
62.4875,-10.75472,277.0205
63.3875,-10.45283,278.0205
63.1625,-10.75472,279.0206
62.825,-10.75472,280.0207
62.6,-10.75472,281.0207
62.6,-10.75472,282.0208
62.825,-10.75472,283.0209
62.825,-10.45283,284.0209
62.6,-10.45283,285.021
62.4875,-10.75472,286.0211
62.7125,-10.45283,287.0212
62.7125,-11.0566,288.0213
62.6,-11.0566,289.0213
62.375,-10.45283,290.0214
62.2625,-11.0566,291.0214
62.15,-11.0566,292.0215
62.15,-11.0566,293.0216
62.0375,-11.35849,294.0217
62.2625,-10.45283,295.0217
62.375,-10.75472,296.0218
62.4875,-11.0566,297.0219
62.4875,-10.75472,298.022
62.6,-10.75472,299.022
62.9375,-10.45283,300.0221
63.05,-10.75472,301.0222
62.9375,-10.45283,302.0223
63.05,-10.45283,303.0223
62.825,-10.75472,304.0224
62.9375,-10.75472,305.0225
62.825,-10.75472,306.0225
63.1625,-10.75472,307.0226
63.275,-10.45283,308.0227
63.3875,-10.45283,309.0228
63.5,-10.45283,310.0229
63.5,-10.45283,311.0229
63.6125,-9.849056,312.023
63.725,-9.849056,313.0231
63.8375,-10.45283,314.0231
63.8375,-10.15094,315.0232
63.6125,-10.15094,316.0233
63.5,-10.45283,317.0234
63.3875,-11.0566,318.0235
63.5,-10.15094,319.0235
63.6125,-10.45283,320.0236
63.6125,-10.15094,321.0237
63.3875,-10.45283,322.0238
63.3875,-10.15094,323.0239
63.3875,-10.15094,324.0239
63.6125,-10.75472,325.024
63.3875,-10.45283,326.0241
63.5,-10.75472,327.0242
63.5,-10.15094,328.0242
63.3875,-9.849056,329.0243
63.3875,-10.45283,330.0244
63.5,-10.15094,331.0245
63.725,-10.15094,332.0245
63.6125,-9.849056,333.0246
63.6125,-10.45283,334.0247
63.725,-10.15094,335.0248
63.8375,-10.15094,336.0249
63.8375,-10.15094,337.0249
63.95,-10.15094,338.025
63.95,-10.15094,339.025
64.175,-9.849056,340.0251
64.2875,-9.849056,341.0252
64.175,-9.849056,342.0253
64.4,-9.547169,343.0253
64.2875,-9.547169,344.0254
64.4,-9.849056,345.0255
64.0625,-10.45283,346.0256
64.4,-10.15094,347.0257
64.625,-9.547169,348.0257
64.625,-9.547169,349.0258
64.73751,-9.547169,350.0259
64.73751,-9.849056,351.0259
64.73751,-9.245281,352.026
64.9625,-8.943398,353.0261
65.4125,-9.245281,354.0262
65.525,-8.64151,355.0263
65.3,-8.64151,356.0263
65.1875,-8.943398,357.0264
65.1875,-9.245281,358.0265
64.9625,-9.245281,359.0266
64.9625,-8.943398,360.0267
64.85,-9.245281,361.0267
65.075,-9.245281,362.0268
65.075,-9.245281,363.0269
64.9625,-9.547169,364.0269
64.9625,-9.245281,365.027
65.1875,-9.245281,366.0271
65.075,-8.943398,367.0272
65.075,-9.245281,368.0272
65.1875,-8.943398,369.0273
65.1875,-8.943398,370.0274
65.1875,-9.245281,371.0275
65.075,-8.943398,372.0275
65.3,-8.943398,373.0276
65.3,-8.943398,374.0277
65.1875,-8.943398,375.0278
65.1875,-8.943398,376.0278
65.1875,-8.943398,377.0279
65.1875,-8.943398,378.028
65.1875,-8.943398,379.0281
65.1875,-8.64151,380.0282
65.1875,-8.64151,381.0283
65.3,-8.943398,382.0283
65.3,-8.64151,383.0284
65.4125,-8.339622,384.0285
65.525,-8.943398,385.0285
65.4125,-8.943398,386.0286
65.4125,-8.943398,387.0287
65.525,-8.64151,388.0288
65.4125,-8.943398,389.0289
65.525,-8.64151,390.0289
65.3,-8.64151,391.029
65.3,-8.943398,392.029
65.3,-8.943398,393.0291
65.3,-8.943398,394.0292
65.4125,-8.64151,395.0293
65.075,-8.64151,396.0293
65.3,-8.943398,397.0294
65.1875,-8.64151,398.0295
65.075,-8.64151,399.0295
65.075,-8.943398,400.0296
65.1875,-8.64151,401.0296
65.1875,-9.245281,402.0297
64.9625,-8.943398,403.0298
64.85,-8.943398,404.0298
64.85,-8.943398,405.0299
64.73751,-9.245281,406.03
64.4,-8.943398,407.0301
64.5125,-9.245281,408.0302
64.5125,-8.943398,409.0302
64.4,-8.943398,410.0303
64.2875,-9.245281,411.0304
64.175,-9.245281,412.0305
64.2875,-8.943398,413.0306
64.2875,-8.943398,414.0306
64.2875,-9.245281,415.0307
64.175,-9.547169,416.0308
64.0625,-8.943398,417.0309
63.8375,-9.245281,418.031
63.8375,-8.943398,419.031
64.175,-8.943398,420.0311
64.2875,-8.943398,421.0312
64.2875,-8.64151,422.0313
64.2875,-9.245281,423.0313
64.4,-9.245281,424.0314
64.5125,-8.943398,425.0315
64.5125,-8.943398,426.0316
64.625,-8.943398,427.0317
64.5125,-8.943398,428.0317
64.4,-9.245281,429.0318
64.2875,-9.245281,430.0319
64.2875,-9.245281,431.0319
64.4,-9.245281,432.032
64.175,-9.245281,433.0321
64.2875,-9.245281,434.0322
64.2875,-9.245281,435.0322
63.95,-9.547169,436.0323
63.8375,-9.547169,437.0324
63.95,-9.547169,438.0325
63.6125,-9.547169,439.0326
63.5,-9.849056,440.0326
63.8375,-9.849056,441.0327
63.8375,-9.849056,442.0328
63.5,-9.849056,443.0328
63.5,-10.15094,444.0329
63.5,-9.849056,445.033
63.3875,-9.849056,446.033
63.3875,-9.849056,447.0332
63.5,-10.15094,448.0332
63.5,-10.15094,449.0333
63.6125,-9.849056,450.0334
63.3875,-10.15094,451.0334
63.5,-10.15094,452.0335
63.5,-9.849056,453.0336
63.3875,-10.15094,454.0337
63.5,-9.849056,455.0337
63.3875,-10.15094,456.0338
63.275,-9.849056,457.0339
63.1625,-10.15094,458.034
63.3875,-10.15094,459.0341
63.275,-10.15094,460.0341
63.1625,-10.15094,461.0342
63.05,-10.15094,462.0343
62.9375,-10.15094,463.0343
62.9375,-10.15094,464.0345
63.05,-10.15094,465.0345
63.275,-10.45283,466.0346
63.1625,-10.15094,467.0347
63.05,-10.75472,468.0347
62.9375,-10.15094,469.0348
62.825,-10.15094,470.0349
62.825,-10.75472,471.0349
62.7125,-10.45283,472.035
62.825,-10.45283,473.0351
62.9375,-10.45283,474.0352
62.7125,-10.45283,475.0353
62.6,-10.75472,476.0353
62.4875,-10.45283,477.0354
62.825,-10.45283,478.0354
62.7125,-10.75472,479.0355
62.7125,-10.75472,480.0357
